Created as New Dataset,251-2
s,A
0.00,0.4900
0.05,0.4900
0.10,0.4900
0.15,0.4900
0.20,0.4900
0.25,0.4900
0.30,0.4900
0.35,0.4901
0.40,0.4901
0.45,0.4901
0.50,0.4901
0.55,0.4902
0.60,0.4902
0.65,0.4902
0.70,0.4903
0.75,0.4903
0.80,0.4903
0.85,0.4904
0.90,0.4904
0.95,0.4904
1.00,0.4904
1.05,0.4904
1.10,0.4905
1.15,0.4905
1.20,0.4905
1.25,0.4905
1.30,0.4905
1.35,0.4905
1.40,0.4905
1.45,0.4906
1.50,0.4906
1.55,0.4906
1.60,0.4906
1.65,0.4906
1.70,0.4906
1.75,0.4906
1.80,0.4906
1.85,0.4906
1.90,0.4906
1.95,0.4906
2.00,0.4906
2.05,0.4906
2.10,0.4906
2.15,0.4906
2.20,0.4906
2.25,0.4906
2.30,0.4817
2.35,0.4711
2.40,0.4472
2.45,0.4257
2.50,0.4178
2.55,0.4178
2.60,0.4178
2.65,0.4179
2.70,0.4250
2.75,0.4362
2.80,0.4613
2.85,0.4868
2.90,0.4983
2.95,0.5063
3.00,0.5063
3.05,0.5064
3.10,0.5064
3.15,0.5065
3.20,0.5066
3.25,0.5066
3.30,0.5066
3.35,0.5067
3.40,0.5068
3.45,0.5068
3.50,0.5068
3.55,0.5069
3.60,0.5069
3.65,0.5069
3.70,0.5070
3.75,0.5070
3.80,0.5070
3.85,0.5071
3.90,0.5071
3.95,0.5072
4.00,0.5072
4.05,0.5072
4.10,0.5072
4.15,0.5073
4.20,0.5073
4.25,0.5073
4.30,0.5073
4.35,0.5074
4.40,0.5074
4.45,0.5074
4.50,0.5074
4.55,0.5074
4.60,0.5075
4.65,0.5075
4.70,0.5075
4.75,0.5075
4.80,0.5076
4.85,0.5076
4.90,0.5076
4.95,0.5076
5.00,0.5076
