Created as New Dataset,351-rerun9
s,A
0.00,0.4865
0.05,0.4865
0.10,0.4865
0.15,0.4864
0.20,0.4864
0.25,0.4864
0.30,0.4864
0.35,0.4863
0.40,0.4863
0.45,0.4863
0.50,0.4863
0.55,0.4862
0.60,0.4862
0.65,0.4862
0.70,0.4862
0.75,0.4862
0.80,0.4862
0.85,0.4861
0.90,0.4861
0.95,0.4861
1.00,0.4860
1.05,0.4860
1.10,0.4860
1.15,0.4860
1.20,0.4860
1.25,0.4859
1.30,0.4859
1.35,0.4859
1.40,0.4859
1.45,0.4859
1.50,0.4858
1.55,0.4858
1.60,0.4858
1.65,0.4858
1.70,0.4858
1.75,0.4857
1.80,0.4857
1.85,0.4857
1.90,0.4857
1.95,0.4857
2.00,0.4856
2.05,0.4856
2.10,0.4856
2.15,0.4856
2.20,0.4856
2.25,0.4856
2.30,0.4855
2.35,0.4855
2.40,0.4855
2.45,0.4855
2.50,0.4855
2.55,0.4854
2.60,0.4854
2.65,0.4854
2.70,0.4854
2.75,0.4854
2.80,0.4854
2.85,0.4853
2.90,0.4853
2.95,0.4853
3.00,0.4853
3.05,0.4853
3.10,0.4853
3.15,0.4852
3.20,0.4852
3.25,0.4852
3.30,0.4774
3.35,0.4665
3.40,0.4539
3.45,0.4438
3.50,0.4438
3.55,0.4438
3.60,0.4437
3.65,0.4437
3.70,0.4436
3.75,0.4557
3.80,0.4677
3.85,0.4778
3.90,0.4778
3.95,0.4778
4.00,0.4778
4.05,0.4778
4.10,0.4778
4.15,0.4778
4.20,0.4779
4.25,0.4779
4.30,0.4779
4.35,0.4779
4.40,0.4779
4.45,0.4780
4.50,0.4780
4.55,0.4780
4.60,0.4780
4.65,0.4780
4.70,0.4780
4.75,0.4781
4.80,0.4781
4.85,0.4781
4.90,0.4781
4.95,0.4781
5.00,0.4782
