Created as New Dataset,351-rerun3
s,A
0.00,0.4930
0.05,0.4930
0.10,0.4930
0.15,0.4930
0.20,0.4931
0.25,0.4931
0.30,0.4931
0.35,0.4931
0.40,0.4931
0.45,0.4931
0.50,0.4931
0.55,0.4931
0.60,0.4931
0.65,0.4931
0.70,0.4931
0.75,0.4931
0.80,0.4931
0.85,0.4931
0.90,0.4931
0.95,0.4931
1.00,0.4931
1.05,0.4931
1.10,0.4931
1.15,0.4931
1.20,0.4931
1.25,0.4931
1.30,0.4931
1.35,0.4931
1.40,0.4931
1.45,0.4931
1.50,0.4931
1.55,0.4931
1.60,0.4931
1.65,0.4931
1.70,0.4931
1.75,0.4931
1.80,0.4931
1.85,0.4931
1.90,0.4931
1.95,0.4930
2.00,0.4930
2.05,0.4930
2.10,0.4730
2.15,0.4590
2.20,0.4425
2.25,0.4425
2.30,0.4344
2.35,0.4344
2.40,0.4344
2.45,0.4344
2.50,0.4345
2.55,0.4526
2.60,0.4679
2.65,0.4679
2.70,0.4681
2.75,0.4682
2.80,0.4683
2.85,0.4684
2.90,0.4685
2.95,0.4686
3.00,0.4687
3.05,0.4688
3.10,0.4688
3.15,0.4690
3.20,0.4691
3.25,0.4692
3.30,0.4692
3.35,0.4694
3.40,0.4695
3.45,0.4695
3.50,0.4696
3.55,0.4697
3.60,0.4698
3.65,0.4699
3.70,0.4700
3.75,0.4701
3.80,0.4701
3.85,0.4702
3.90,0.4703
3.95,0.4704
4.00,0.4705
4.05,0.4705
4.10,0.4706
4.15,0.4707
4.20,0.4708
4.25,0.4709
4.30,0.4709
4.35,0.4710
4.40,0.4711
4.45,0.4712
4.50,0.4712
4.55,0.4713
4.60,0.4714
4.65,0.4715
4.70,0.4715
4.75,0.4716
4.80,0.4717
4.85,0.4717
4.90,0.4718
4.95,0.4719
5.00,0.4720
