Created as New Dataset,275-3
s,A
0.00,0.4983
0.05,0.4983
0.10,0.4983
0.15,0.4983
0.20,0.4983
0.25,0.4982
0.30,0.4982
0.35,0.4982
0.40,0.4982
0.45,0.4982
0.50,0.4982
0.55,0.4982
0.60,0.4982
0.65,0.4982
0.70,0.4982
0.75,0.4981
0.80,0.4981
0.85,0.4981
0.90,0.4981
0.95,0.4981
1.00,0.4981
1.05,0.4981
1.10,0.4981
1.15,0.4981
1.20,0.4980
1.25,0.4980
1.30,0.4980
1.35,0.4980
1.40,0.4980
1.45,0.4980
1.50,0.4980
1.55,0.4979
1.60,0.4979
1.65,0.4979
1.70,0.4979
1.75,0.4979
1.80,0.4979
1.85,0.4979
1.90,0.4978
1.95,0.4978
2.00,0.4978
2.05,0.4978
2.10,0.4978
2.15,0.4977
2.20,0.4977
2.25,0.4838
2.30,0.4579
2.35,0.4438
2.40,0.4359
2.45,0.4359
2.50,0.4359
2.55,0.4359
2.60,0.4359
2.65,0.4359
2.70,0.4640
2.75,0.4782
2.80,0.4783
2.85,0.4861
2.90,0.4861
2.95,0.4862
3.00,0.4863
3.05,0.4863
3.10,0.4864
3.15,0.4865
3.20,0.4865
3.25,0.4866
3.30,0.4866
3.35,0.4867
3.40,0.4867
3.45,0.4868
3.50,0.4869
3.55,0.4869
3.60,0.4869
3.65,0.4870
3.70,0.4871
3.75,0.4871
3.80,0.4872
3.85,0.4872
3.90,0.4873
3.95,0.4873
4.00,0.4874
4.05,0.4874
4.10,0.4875
4.15,0.4875
4.20,0.4875
4.25,0.4876
4.30,0.4876
4.35,0.4877
4.40,0.4877
4.45,0.4877
4.50,0.4878
4.55,0.4878
4.60,0.4879
4.65,0.4879
4.70,0.4880
4.75,0.4880
4.80,0.4880
4.85,0.4880
4.90,0.4881
4.95,0.4881
5.00,0.4882
