Created as New Dataset,325-2rerun
s,A
0.00,0.5036
0.05,0.5036
0.10,0.5036
0.15,0.5036
0.20,0.5036
0.25,0.5036
0.30,0.5036
0.35,0.5035
0.40,0.5035
0.45,0.5035
0.50,0.5035
0.55,0.5034
0.60,0.5034
0.65,0.5034
0.70,0.5033
0.75,0.5033
0.80,0.5033
0.85,0.5033
0.90,0.5032
0.95,0.5032
1.00,0.5032
1.05,0.5031
1.10,0.5031
1.15,0.5031
1.20,0.5030
1.25,0.5030
1.30,0.5030
1.35,0.5029
1.40,0.5029
1.45,0.4918
1.50,0.4918
1.55,0.4718
1.60,0.4564
1.65,0.4563
1.70,0.4487
1.75,0.4487
1.80,0.4487
1.85,0.4487
1.90,0.4488
1.95,0.4666
2.00,0.4810
2.05,0.4811
2.10,0.4812
2.15,0.4813
2.20,0.4814
2.25,0.4814
2.30,0.4816
2.35,0.4817
2.40,0.4818
2.45,0.4819
2.50,0.4820
2.55,0.4821
2.60,0.4822
2.65,0.4823
2.70,0.4824
2.75,0.4825
2.80,0.4826
2.85,0.4827
2.90,0.4828
2.95,0.4829
3.00,0.4830
3.05,0.4831
3.10,0.4831
3.15,0.4832
3.20,0.4833
3.25,0.4834
3.30,0.4835
3.35,0.4835
3.40,0.4836
3.45,0.4837
3.50,0.4838
3.55,0.4839
3.60,0.4839
3.65,0.4840
3.70,0.4841
3.75,0.4842
3.80,0.4842
3.85,0.4843
3.90,0.4843
3.95,0.4845
4.00,0.4845
4.05,0.4846
4.10,0.4846
4.15,0.4847
4.20,0.4848
4.25,0.4848
4.30,0.4849
4.35,0.4849
4.40,0.4850
4.45,0.4851
4.50,0.4851
4.55,0.4852
4.60,0.4852
4.65,0.4853
4.70,0.4854
4.75,0.4854
4.80,0.4855
4.85,0.4855
4.90,0.4856
4.95,0.4856
5.00,0.4857
