Created as New Dataset,30-5rerun2
s,A
0,0.5026
0.05,0.5026
0.1,0.5026
0.15,0.5025
0.2,0.5025
0.25,0.5025
0.3,0.5025
0.35,0.5024
0.4,0.5024
0.45,0.5024
0.5,0.5023
0.55,0.5022
0.6,0.5022
0.65,0.5022
0.7,0.5021
0.75,0.5021
0.8,0.502
0.85,0.502
0.9,0.5019
0.95,0.5019
1,0.5018
1.05,0.5018
1.1,0.5018
1.15,0.5017
1.2,0.5016
1.25,0.5016
1.3,0.5016
1.35,0.5015
1.4,0.5015
1.45,0.5015
1.5,0.5014
1.55,0.5013
1.6,0.5013
1.65,0.5013
1.7,0.5012
1.75,0.5012
1.8,0.5011
1.85,0.5011
1.9,0.5011
1.95,0.487
2,0.4681
2.05,0.445
2.1,0.4378
2.15,0.4378
2.2,0.4377
2.25,0.4376
2.3,0.4298
2.35,0.4298
2.4,0.4532
2.45,0.4753
2.5,0.4833
2.55,0.4833
2.6,0.4833
2.65,0.4833
2.7,0.4833
2.75,0.4833
2.8,0.4833
2.85,0.4833
2.9,0.4833
2.95,0.4832
3,0.4832
3.05,0.4832
3.1,0.4832
3.15,0.4832
3.2,0.4832
3.25,0.4832
3.3,0.4832
3.35,0.4832
3.4,0.4832
3.45,0.4832
3.5,0.4832
3.55,0.4832
3.6,0.4832
3.65,0.4832
3.7,0.4832
3.75,0.4832
3.8,0.4832
3.85,0.4831
3.9,0.4831
3.95,0.4831
4,0.4831
4.05,0.4831
4.1,0.4831
4.15,0.4831
4.2,0.4831
4.25,0.4831
4.3,0.4831
4.35,0.4831
4.4,0.4831
4.45,0.4831
4.5,0.4831
4.55,0.4831
4.6,0.4831
4.65,0.4831
4.7,0.4831
4.75,0.4831
4.8,0.4831
4.85,0.4831
4.9,0.4831
4.95,0.4831
5,0.4831
