Created as New Dataset,275-2
s,A
0.00,0.5033
0.05,0.5033
0.10,0.5033
0.15,0.5033
0.20,0.5033
0.25,0.5033
0.30,0.5033
0.35,0.5034
0.40,0.5034
0.45,0.5034
0.50,0.5035
0.55,0.5035
0.60,0.5036
0.65,0.5036
0.70,0.5036
0.75,0.5106
0.80,0.5106
0.85,0.5105
0.90,0.5035
0.95,0.5122
1.00,0.5122
1.05,0.5122
1.10,0.5120
1.15,0.5121
1.20,0.5196
1.25,0.5196
1.30,0.5196
1.35,0.5195
1.40,0.5195
1.45,0.5195
1.50,0.5194
1.55,0.5113
1.60,0.5113
1.65,0.5100
1.70,0.5100
1.75,0.5100
1.80,0.5100
1.85,0.5100
1.90,0.5028
1.95,0.5028
2.00,0.5029
2.05,0.5030
2.10,0.5030
2.15,0.4817
2.20,0.4530
2.25,0.4416
2.30,0.4416
2.35,0.4342
2.40,0.4343
2.45,0.4344
2.50,0.4344
2.55,0.4498
2.60,0.4778
2.65,0.4899
2.70,0.4900
2.75,0.4974
2.80,0.4974
2.85,0.4975
2.90,0.4976
2.95,0.4977
3.00,0.4977
3.05,0.4978
3.10,0.4978
3.15,0.4980
3.20,0.4980
3.25,0.4981
3.30,0.4982
3.35,0.4982
3.40,0.4983
3.45,0.4984
3.50,0.4984
3.55,0.4985
3.60,0.4986
3.65,0.4987
3.70,0.4987
3.75,0.4988
3.80,0.4988
3.85,0.4989
3.90,0.4989
3.95,0.4990
4.00,0.4990
4.05,0.4991
4.10,0.4991
4.15,0.4992
4.20,0.4992
4.25,0.4993
4.30,0.4993
4.35,0.4994
4.40,0.4994
4.45,0.4994
4.50,0.4995
4.55,0.4995
4.60,0.4995
4.65,0.4995
4.70,0.4996
4.75,0.4996
4.80,0.4997
4.85,0.4997
4.90,0.4997
4.95,0.4998
5.00,0.4998
