Created as New Dataset,30-3
s,A
0.00,0.4971
0.05,0.4972
0.10,0.4972
0.15,0.4972
0.20,0.4973
0.25,0.4973
0.30,0.4973
0.35,0.4974
0.40,0.4974
0.45,0.4975
0.50,0.4975
0.55,0.4976
0.60,0.4976
0.65,0.4977
0.70,0.4977
0.75,0.4978
0.80,0.4978
0.85,0.4979
0.90,0.4979
0.95,0.4980
1.00,0.4980
1.05,0.4981
1.10,0.4981
1.15,0.4981
1.20,0.4981
1.25,0.4982
1.30,0.4982
1.35,0.4983
1.40,0.4983
1.45,0.4983
1.50,0.4983
1.55,0.4984
1.60,0.4984
1.65,0.4983
1.70,0.4538
1.75,0.4538
1.80,0.4457
1.85,0.4457
1.90,0.4457
1.95,0.4456
2.00,0.4456
2.05,0.4456
2.10,0.4657
2.15,0.4828
2.20,0.4829
2.25,0.4899
2.30,0.4899
2.35,0.4899
2.40,0.4900
2.45,0.4900
2.50,0.4900
2.55,0.4900
2.60,0.4900
2.65,0.4900
2.70,0.4900
2.75,0.4901
2.80,0.4901
2.85,0.4901
2.90,0.4901
2.95,0.4901
3.00,0.4901
3.05,0.4901
3.10,0.4901
3.15,0.4901
3.20,0.4901
3.25,0.4902
3.30,0.4902
3.35,0.4902
3.40,0.4902
3.45,0.4902
3.50,0.4902
3.55,0.4902
3.60,0.4902
3.65,0.4902
3.70,0.4902
3.75,0.4902
3.80,0.4902
3.85,0.4902
3.90,0.4902
3.95,0.4902
4.00,0.4902
4.05,0.4902
4.10,0.4902
4.15,0.4902
4.20,0.4902
4.25,0.4902
4.30,0.4902
4.35,0.4902
4.40,0.4902
4.45,0.4902
4.50,0.4902
4.55,0.4902
4.60,0.4902
4.65,0.4902
4.70,0.4902
4.75,0.4902
4.80,0.4902
4.85,0.4901
4.90,0.4901
4.95,0.4901
5.00,0.4901
