Created as New Dataset,251-3
s,A
0.00,0.5123
0.05,0.5123
0.10,0.5122
0.15,0.5122
0.20,0.5122
0.25,0.5122
0.30,0.5122
0.35,0.5122
0.40,0.5121
0.45,0.5121
0.50,0.5121
0.55,0.5121
0.60,0.5121
0.65,0.5121
0.70,0.5121
0.75,0.5121
0.80,0.5121
0.85,0.5121
0.90,0.5121
0.95,0.5120
1.00,0.5120
1.05,0.5120
1.10,0.5120
1.15,0.5120
1.20,0.5120
1.25,0.5120
1.30,0.5120
1.35,0.5119
1.40,0.5119
1.45,0.5119
1.50,0.5119
1.55,0.5119
1.60,0.5118
1.65,0.5118
1.70,0.5118
1.75,0.5118
1.80,0.5118
1.85,0.5117
1.90,0.5117
1.95,0.5117
2.00,0.5117
2.05,0.5116
2.10,0.5116
2.15,0.5116
2.20,0.5116
2.25,0.5115
2.30,0.5115
2.35,0.5115
2.40,0.5115
2.45,0.5114
2.50,0.5114
2.55,0.5114
2.60,0.5113
2.65,0.4958
2.70,0.4703
2.75,0.4431
2.80,0.4314
2.85,0.4223
2.90,0.4224
2.95,0.4224
3.00,0.4224
3.05,0.4223
3.10,0.4224
3.15,0.4435
3.20,0.4695
3.25,0.4808
3.30,0.4880
3.35,0.4881
3.40,0.4881
3.45,0.4882
3.50,0.4883
3.55,0.4883
3.60,0.4884
3.65,0.4884
3.70,0.4885
3.75,0.4886
3.80,0.4886
3.85,0.4886
3.90,0.4887
3.95,0.4888
4.00,0.4888
4.05,0.4888
4.10,0.4889
4.15,0.4889
4.20,0.4890
4.25,0.4890
4.30,0.4890
4.35,0.4891
4.40,0.4891
4.45,0.4892
4.50,0.4892
4.55,0.4893
4.60,0.4893
4.65,0.4893
4.70,0.4893
4.75,0.4894
4.80,0.4894
4.85,0.4895
4.90,0.4895
4.95,0.4895
5.00,0.4895
