Created as New Dataset,30-4
s,A
0.00,0.4924
0.05,0.4924
0.10,0.4924
0.15,0.4924
0.20,0.4923
0.25,0.4923
0.30,0.4923
0.35,0.4923
0.40,0.4850
0.45,0.4851
0.50,0.4851
0.55,0.4852
0.60,0.4853
0.65,0.4853
0.70,0.4853
0.75,0.4854
0.80,0.4855
0.85,0.4855
0.90,0.4856
0.95,0.4856
1.00,0.4857
1.05,0.4857
1.10,0.4858
1.15,0.4858
1.20,0.4859
1.25,0.4859
1.30,0.4860
1.35,0.4860
1.40,0.4860
1.45,0.4861
1.50,0.4862
1.55,0.4862
1.60,0.4862
1.65,0.4863
1.70,0.4864
1.75,0.4864
1.80,0.4864
1.85,0.4865
1.90,0.4866
1.95,0.4866
2.00,0.4866
2.05,0.4867
2.10,0.4867
2.15,0.4585
2.20,0.4416
2.25,0.4416
2.30,0.4415
2.35,0.4345
2.40,0.4345
2.45,0.4346
2.50,0.4346
2.55,0.4347
2.60,0.4788
2.65,0.4789
2.70,0.4789
2.75,0.4791
2.80,0.4791
2.85,0.4792
2.90,0.4792
2.95,0.4793
3.00,0.4794
3.05,0.4794
3.10,0.4795
3.15,0.4795
3.20,0.4796
3.25,0.4796
3.30,0.4796
3.35,0.4797
3.40,0.4797
3.45,0.4798
3.50,0.4798
3.55,0.4798
3.60,0.4799
3.65,0.4799
3.70,0.4800
3.75,0.4800
3.80,0.4800
3.85,0.4801
3.90,0.4802
3.95,0.4802
4.00,0.4802
4.05,0.4803
4.10,0.4803
4.15,0.4804
4.20,0.4804
4.25,0.4805
4.30,0.4805
4.35,0.4806
4.40,0.4806
4.45,0.4807
4.50,0.4807
4.55,0.4807
4.60,0.4808
4.65,0.4808
4.70,0.4809
4.75,0.4809
4.80,0.4810
4.85,0.4810
4.90,0.4811
4.95,0.4811
5.00,0.4811
