Created as New Dataset,251-5
s,A
0.00,0.5123
0.05,0.5193
0.10,0.5193
0.15,0.5193
0.20,0.5192
0.25,0.5192
0.30,0.5191
0.35,0.5191
0.40,0.5190
0.45,0.5114
0.50,0.5114
0.55,0.5115
0.60,0.5115
0.65,0.5115
0.70,0.5115
0.75,0.5115
0.80,0.5116
0.85,0.5116
0.90,0.5116
0.95,0.5116
1.00,0.5116
1.05,0.5116
1.10,0.5116
1.15,0.5117
1.20,0.5117
1.25,0.5117
1.30,0.5117
1.35,0.5117
1.40,0.5117
1.45,0.5118
1.50,0.5118
1.55,0.5118
1.60,0.5118
1.65,0.5118
1.70,0.5118
1.75,0.5118
1.80,0.5118
1.85,0.5118
1.90,0.5118
1.95,0.5118
2.00,0.5118
2.05,0.5118
2.10,0.5013
2.15,0.4924
2.20,0.4476
2.25,0.4385
2.30,0.4384
2.35,0.4290
2.40,0.4290
2.45,0.4218
2.50,0.4219
2.55,0.4308
2.60,0.4530
2.65,0.4679
2.70,0.4780
2.75,0.4781
2.80,0.4781
2.85,0.4781
2.90,0.4782
2.95,0.4782
3.00,0.4783
3.05,0.4783
3.10,0.4783
3.15,0.4784
3.20,0.4785
3.25,0.4785
3.30,0.4785
3.35,0.4786
3.40,0.4786
3.45,0.4787
3.50,0.4787
3.55,0.4787
3.60,0.4788
3.65,0.4788
3.70,0.4788
3.75,0.4789
3.80,0.4789
3.85,0.4789
3.90,0.4789
3.95,0.4790
4.00,0.4790
4.05,0.4790
4.10,0.4791
4.15,0.4791
4.20,0.4791
4.25,0.4791
4.30,0.4792
4.35,0.4792
4.40,0.4792
4.45,0.4793
4.50,0.4793
4.55,0.4793
4.60,0.4793
4.65,0.4794
4.70,0.4794
4.75,0.4794
4.80,0.4794
4.85,0.4795
4.90,0.4795
4.95,0.4795
5.00,0.4795
