Created as New Dataset,30-4rerun
s,A
0.00,0.5507
0.05,0.5507
0.10,0.5507
0.15,0.5507
0.20,0.5507
0.25,0.5507
0.30,0.5507
0.35,0.5508
0.40,0.5577
0.45,0.5577
0.50,0.5577
0.55,0.5576
0.60,0.5575
0.65,0.5575
0.70,0.5574
0.75,0.5574
0.80,0.5574
0.85,0.5573
0.90,0.5572
0.95,0.5572
1.00,0.5571
1.05,0.5570
1.10,0.5570
1.15,0.5569
1.20,0.5569
1.25,0.5568
1.30,0.5567
1.35,0.5567
1.40,0.5566
1.45,0.5566
1.50,0.5565
1.55,0.5564
1.60,0.5564
1.65,0.5393
1.70,0.4904
1.75,0.4761
1.80,0.4761
1.85,0.4656
1.90,0.4584
1.95,0.4583
2.00,0.4513
2.05,0.4514
2.10,0.4718
2.15,0.5070
2.20,0.5070
2.25,0.5070
2.30,0.5071
2.35,0.5072
2.40,0.5072
2.45,0.5072
2.50,0.5073
2.55,0.5073
2.60,0.5073
2.65,0.5074
2.70,0.5074
2.75,0.5074
2.80,0.5074
2.85,0.5074
2.90,0.5075
2.95,0.5075
3.00,0.5075
3.05,0.5075
3.10,0.5076
3.15,0.5076
3.20,0.5076
3.25,0.5076
3.30,0.5077
3.35,0.5077
3.40,0.5077
3.45,0.5077
3.50,0.5078
3.55,0.5078
3.60,0.5078
3.65,0.5078
3.70,0.5078
3.75,0.5079
3.80,0.5079
3.85,0.5079
3.90,0.5079
3.95,0.5080
4.00,0.5080
4.05,0.5080
4.10,0.5080
4.15,0.5080
4.20,0.5080
4.25,0.5081
4.30,0.5081
4.35,0.5081
4.40,0.5081
4.45,0.5081
4.50,0.5082
4.55,0.5082
4.60,0.5082
4.65,0.5082
4.70,0.5082
4.75,0.5082
4.80,0.5083
4.85,0.5083
4.90,0.5083
4.95,0.5083
5.00,0.5083
