Created as New Dataset,325-4
s,A
0.00,0.5086
0.05,0.5086
0.10,0.5086
0.15,0.5085
0.20,0.5006
0.25,0.5006
0.30,0.5079
0.35,0.5079
0.40,0.5079
0.45,0.5079
0.50,0.5078
0.55,0.5078
0.60,0.5078
0.65,0.5078
0.70,0.5078
0.75,0.5078
0.80,0.5078
0.85,0.5077
0.90,0.5077
0.95,0.5077
1.00,0.5077
1.05,0.5077
1.10,0.5077
1.15,0.5077
1.20,0.5077
1.25,0.5077
1.30,0.5076
1.35,0.5076
1.40,0.5076
1.45,0.5076
1.50,0.5076
1.55,0.5076
1.60,0.5076
1.65,0.5076
1.70,0.5076
1.75,0.5076
1.80,0.5076
1.85,0.5076
1.90,0.5076
1.95,0.5003
2.00,0.4794
2.05,0.4643
2.10,0.4642
2.15,0.4561
2.20,0.4560
2.25,0.4559
2.30,0.4559
2.35,0.4558
2.40,0.4732
2.45,0.4869
2.50,0.4870
2.55,0.4870
2.60,0.4870
2.65,0.4871
2.70,0.4871
2.75,0.4871
2.80,0.4871
2.85,0.4872
2.90,0.4872
2.95,0.4872
3.00,0.4872
3.05,0.4872
3.10,0.4872
3.15,0.4872
3.20,0.4872
3.25,0.4872
3.30,0.4872
3.35,0.4872
3.40,0.4872
3.45,0.4872
3.50,0.4873
3.55,0.4873
3.60,0.4873
3.65,0.4873
3.70,0.4873
3.75,0.4873
3.80,0.4873
3.85,0.4873
3.90,0.4874
3.95,0.4874
4.00,0.4874
4.05,0.4874
4.10,0.4874
4.15,0.4874
4.20,0.4874
4.25,0.4875
4.30,0.4875
4.35,0.4875
4.40,0.4875
4.45,0.4875
4.50,0.4875
4.55,0.4875
4.60,0.4876
4.65,0.4876
4.70,0.4876
4.75,0.4876
4.80,0.4876
4.85,0.4877
4.90,0.4877
4.95,0.4877
5.00,0.4877
