Created as New Dataset,351-rerun5
s,A
0.00,0.4895
0.05,0.4895
0.10,0.4895
0.15,0.4894
0.20,0.4894
0.25,0.4893
0.30,0.4893
0.35,0.4893
0.40,0.4892
0.45,0.4892
0.50,0.4891
0.55,0.4891
0.60,0.4890
0.65,0.4890
0.70,0.4889
0.75,0.4889
0.80,0.4889
0.85,0.4888
0.90,0.4887
0.95,0.4887
1.00,0.4887
1.05,0.4886
1.10,0.4886
1.15,0.4885
1.20,0.4885
1.25,0.4884
1.30,0.4884
1.35,0.4883
1.40,0.4883
1.45,0.4882
1.50,0.4882
1.55,0.4881
1.60,0.4881
1.65,0.4880
1.70,0.4880
1.75,0.4880
1.80,0.4879
1.85,0.4878
1.90,0.4878
1.95,0.4878
2.00,0.4877
2.05,0.4876
2.10,0.4876
2.15,0.4876
2.20,0.4875
2.25,0.4875
2.30,0.4874
2.35,0.4874
2.40,0.4873
2.45,0.4873
2.50,0.4872
2.55,0.4872
2.60,0.4872
2.65,0.4871
2.70,0.4871
2.75,0.4870
2.80,0.4870
2.85,0.4869
2.90,0.4869
2.95,0.4868
3.00,0.4868
3.05,0.4868
3.10,0.4867
3.15,0.4796
3.20,0.4668
3.25,0.4551
3.30,0.4550
3.35,0.4549
3.40,0.4549
3.45,0.4548
3.50,0.4548
3.55,0.4547
3.60,0.4547
3.65,0.4656
3.70,0.4776
3.75,0.4777
3.80,0.4778
3.85,0.4779
3.90,0.4779
3.95,0.4780
4.00,0.4781
4.05,0.4782
4.10,0.4782
4.15,0.4783
4.20,0.4783
4.25,0.4784
4.30,0.4784
4.35,0.4785
4.40,0.4785
4.45,0.4785
4.50,0.4786
4.55,0.4786
4.60,0.4787
4.65,0.4787
4.70,0.4788
4.75,0.4788
4.80,0.4789
4.85,0.4789
4.90,0.4789
4.95,0.4790
5.00,0.4790
