Created as New Dataset,325-3
s,A
0.00,0.4965
0.05,0.4965
0.10,0.4965
0.15,0.4966
0.20,0.4966
0.25,0.4966
0.30,0.4966
0.35,0.4966
0.40,0.4967
0.45,0.4967
0.50,0.4967
0.55,0.4968
0.60,0.4968
0.65,0.4969
0.70,0.4969
0.75,0.4969
0.80,0.4969
0.85,0.5040
0.90,0.5039
0.95,0.5039
1.00,0.5039
1.05,0.5038
1.10,0.5038
1.15,0.5038
1.20,0.5038
1.25,0.5037
1.30,0.5037
1.35,0.5037
1.40,0.5037
1.45,0.5036
1.50,0.5036
1.55,0.5036
1.60,0.5035
1.65,0.5035
1.70,0.5035
1.75,0.5035
1.80,0.5034
1.85,0.4922
1.90,0.4922
1.95,0.4719
2.00,0.4605
2.05,0.4604
2.10,0.4604
2.15,0.4604
2.20,0.4604
2.25,0.4604
2.30,0.4725
2.35,0.4938
2.40,0.5069
2.45,0.5069
2.50,0.5070
2.55,0.5070
2.60,0.5070
2.65,0.5071
2.70,0.5071
2.75,0.5072
2.80,0.5072
2.85,0.5072
2.90,0.5073
2.95,0.5073
3.00,0.5073
3.05,0.5074
3.10,0.5074
3.15,0.5074
3.20,0.5075
3.25,0.5075
3.30,0.5076
3.35,0.5076
3.40,0.5076
3.45,0.5076
3.50,0.5077
3.55,0.5077
3.60,0.5078
3.65,0.5078
3.70,0.5079
3.75,0.5079
3.80,0.5079
3.85,0.5079
3.90,0.5080
3.95,0.5080
4.00,0.5081
4.05,0.5081
4.10,0.5081
4.15,0.5081
4.20,0.5082
4.25,0.5082
4.30,0.5083
4.35,0.5083
4.40,0.5083
4.45,0.5084
4.50,0.5084
4.55,0.5084
4.60,0.5084
4.65,0.5085
4.70,0.5085
4.75,0.5085
4.80,0.5086
4.85,0.5086
4.90,0.5086
4.95,0.5086
5.00,0.5087
