Created as New Dataset,351-1rerun
s,A
0.00,0.4783
0.05,0.4783
0.10,0.4783
0.15,0.4783
0.20,0.4783
0.25,0.4783
0.30,0.4783
0.35,0.4783
0.40,0.4783
0.45,0.4783
0.50,0.4783
0.55,0.4783
0.60,0.4783
0.65,0.4784
0.70,0.4784
0.75,0.4784
0.80,0.4784
0.85,0.4784
0.90,0.4784
0.95,0.4784
1.00,0.4784
1.05,0.4784
1.10,0.4784
1.15,0.4784
1.20,0.4784
1.25,0.4783
1.30,0.4783
1.35,0.4783
1.40,0.4783
1.45,0.4783
1.50,0.4783
1.55,0.4783
1.60,0.4783
1.65,0.4783
1.70,0.4634
1.75,0.4525
1.80,0.4337
1.85,0.4338
1.90,0.4338
1.95,0.4338
2.00,0.4338
2.05,0.4338
2.10,0.4465
2.15,0.4575
2.20,0.4696
2.25,0.4776
2.30,0.4777
2.35,0.4777
2.40,0.4777
2.45,0.4778
2.50,0.4778
2.55,0.4779
2.60,0.4779
2.65,0.4780
2.70,0.4780
2.75,0.4781
2.80,0.4781
2.85,0.4781
2.90,0.4782
2.95,0.4782
3.00,0.4783
3.05,0.4783
3.10,0.4783
3.15,0.4784
3.20,0.4784
3.25,0.4785
3.30,0.4785
3.35,0.4785
3.40,0.4785
3.45,0.4786
3.50,0.4786
3.55,0.4786
3.60,0.4787
3.65,0.4787
3.70,0.4787
3.75,0.4788
3.80,0.4788
3.85,0.4788
3.90,0.4788
3.95,0.4789
4.00,0.4789
4.05,0.4789
4.10,0.4789
4.15,0.4789
4.20,0.4790
4.25,0.4790
4.30,0.4790
4.35,0.4790
4.40,0.4790
4.45,0.4790
4.50,0.4791
4.55,0.4791
4.60,0.4791
4.65,0.4791
4.70,0.4791
4.75,0.4791
4.80,0.4791
4.85,0.4792
4.90,0.4792
4.95,0.4792
5.00,0.4792
