Created as New Dataset,
s,A
0.00,0.5655
0.05,0.5655
0.10,0.5655
0.15,0.5655
0.20,0.5655
0.25,0.5655
0.30,0.5654
0.35,0.5654
0.40,0.5654
0.45,0.5654
0.50,0.5654
0.55,0.5653
0.60,0.5653
0.65,0.5653
0.70,0.5653
0.75,0.5653
0.80,0.5652
0.85,0.5652
0.90,0.5652
0.95,0.5652
1.00,0.5651
1.05,0.5651
1.10,0.5651
1.15,0.5650
1.20,0.5650
1.25,0.5650
1.30,0.5649
1.35,0.5649
1.40,0.5649
1.45,0.5649
1.50,0.5648
1.55,0.5648
1.60,0.5648
1.65,0.5647
1.70,0.5647
1.75,0.5647
1.80,0.5555
1.85,0.5555
1.90,0.5161
1.95,0.5161
2.00,0.5161
2.05,0.5160
2.10,0.5160
2.15,0.5160
2.20,0.5160
2.25,0.5263
2.30,0.5600
2.35,0.5601
2.40,0.5601
2.45,0.5602
2.50,0.5602
2.55,0.5603
2.60,0.5603
2.65,0.5603
2.70,0.5604
2.75,0.5604
2.80,0.5605
2.85,0.5605
2.90,0.5606
2.95,0.5606
3.00,0.5606
3.05,0.5607
3.10,0.5607
3.15,0.5608
3.20,0.5608
3.25,0.5608
3.30,0.5609
3.35,0.5609
3.40,0.5609
3.45,0.5609
3.50,0.5610
3.55,0.5610
3.60,0.5610
3.65,0.5611
3.70,0.5611
3.75,0.5611
3.80,0.5612
3.85,0.5612
3.90,0.5612
3.95,0.5613
4.00,0.5613
4.05,0.5613
4.10,0.5614
4.15,0.5614
4.20,0.5614
4.25,0.5615
4.30,0.5615
4.35,0.5615
4.40,0.5616
4.45,0.5616
4.50,0.5616
4.55,0.5617
4.60,0.5617
4.65,0.5617
4.70,0.5618
4.75,0.5618
4.80,0.5618
4.85,0.5619
4.90,0.5619
4.95,0.5620
5.00,0.5620
